S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"realme P4R 5G (Silver Glare, 128 GB)",realme,18999,25999,26% off,,,,4 GB RAM,128 GB ROM,8000 mAh Lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/realme-p4r-5g-silver-glare-128-gb/p/itmb42ae388c1ef6?pid=MOBHMYR3EJZ8J2ES&lid=LSTMOBHMYR3EJZ8J2ESJIJD96&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&iid=en_YOmDEwAzWNVho49X24L32s5EUGe2MatBrdgB-wpd0zoevIGLcL2L9ibBaNPJ6xNXhVL1j8XVvrGUb5LX6HsCMVrTH2U66dtRy_QxUN6lnQBRkFffiiEHaGoHPbOdCZsd&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
2,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10499,10999,4% off,4.4,"3,693",164,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGHKLHJJ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHKHPYQHGDVRTG.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
3,"Samsung M06 5G (Sage Green, 128 GB)",Samsung,12840,15499,17% off,4.1,"2,866",171,4 GB RAM,128 GB ROM,5000 mAh Battery,,17.02 cm (6.7 inch) Display,50MP Rear Camera,,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYVNKR3HR&lid=LSTMOBH9UYFYVNKR3HRIZOSGJ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBH9UYFYVNKR3HR.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
4,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"3,050",162,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHK685K37ZCSPU.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
5,"MOTOROLA g37 power (PANTONE Nautical Blue, 128 GB)",MOTOROLA,15999,30499,47% off,4.1,443,33,4 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-nautical-blue-128-gb/p/itmf752f4981d932?pid=MOBHHVFYGN57RYAH&lid=LSTMOBHHVFYGN57RYAHB2DF12&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHHVFYGN57RYAH.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
6,"realme P4 Lite 5G (Mosaic Blue, 64 GB)",realme,14499,28999,50% off,4.3,"6,751",349,4 GB RAM,64 GB ROM,7000 mAh lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-64-gb/p/itm90c243961f214?pid=MOBHN7A8CMJGRACT&lid=LSTMOBHN7A8CMJGRACTDRIOJU&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHN7A8CMJGRACT.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
7,"MOTOROLA g06 power (Pantone Tendril, 64 GB)",MOTOROLA,12999,19999,35% off,4.2,"18,696","1,083",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm2f1ca967879c9?pid=MOBHN973UQNPMAAN&lid=LSTMOBHN973UQNPMAANZHPTVN&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHN973UQNPMAAN.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
8,"POCO C85x (Sunset Gold, 64 GB)",POCO,12499,20999,40% off,4.1,"2,332",111,4 GB RAM,64 GB ROM,6300 mAh Lithium-Ion Polymer Battery,T8300 Processor,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,,https://www.flipkart.com/poco-c85x-sunset-gold-64-gb/p/itm6b8cdd362c306?pid=MOBHMGG5PYZRFMKU&lid=LSTMOBHMGG5PYZRFMKUCJZJZ4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHMGG5PYZRFMKU.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
9,"POCO M8 (Frost Silver, 128 GB)",POCO,19999,25999,23% off,4.3,"1,794",174,6 GB RAM,128 GB ROM,5520 mAh Battery,,17.2 cm (6.77 inch) Full HD+ Display,50MP Rear Camera | 20MP Front Camera,,https://www.flipkart.com/poco-m8-frost-silver-128-gb/p/itm42b9da2073832?pid=MOBHMGG5HBC8MRBG&lid=LSTMOBHMGG5HBC8MRBGXF9FVG&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHMGG5HBC8MRBG.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
10,"OPPO K14x 5G (Icy Blue, 64 GB)",OPPO,15999,19999,20% off,4.3,"4,302",242,4 GB RAM,64 GB ROM,6500 mAh Battery,Dimensity 6300 Processor,17.14 cm (6.75 inch) HD+ Display,,,https://www.flipkart.com/oppo-k14x-5g-icy-blue-64-gb/p/itm188c7a4b69292?pid=MOBHKZF3YEJNPZHZ&lid=LSTMOBHKZF3YEJNPZHZKAKWY1&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_10&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHKZF3YEJNPZHZ.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
11,"POCO M7 Plus 5G (Carbon Black, 128 GB)",POCO,15999,16999,5% off,4.3,"10,008",626,6 GB RAM,128 GB ROM,7000 mAh Battery,Snapdragon 6s Gen 3 5G Processor,17.53 cm (6.9 inch) Display,50MP AI Dual Camera,5G,https://www.flipkart.com/poco-m7-plus-5g-carbon-black-128-gb/p/itmb4301b9afe80c?pid=MOBHETX6NVUH8VPG&lid=LSTMOBHETX6NVUH8VPGINMDBZ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_11&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHETX6NVUH8VPG.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
12,"OnePlus Nord CE6 Lite (Hyper Black, 128 GB)",OnePlus,25999,31999,18% off,4.2,310,20,6 GB RAM,128 GB ROM,7000 mAh Battery,Qualcomm Snapdragon 7s Gen 4 Processor,17.07 cm (6.72 inch) Full HD+ Display,50MP Rear Camera | 50MP Front Camera,,https://www.flipkart.com/oneplus-nord-ce6-lite-hyper-black-128-gb/p/itm894a5599b758b?pid=MOBHN8BDFU3PHHUR&lid=LSTMOBHN8BDFU3PHHURRHYLIV&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_12&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHN8BDFU3PHHUR.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
13,"Ai+ Nova 2 5G (Blue, 64 GB)",Ai+,11999,13999,14% off,4.5,"1,994",58,4 GB RAM,64 GB ROM,6000 mAh Battery,T8200 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-5g-blue-64-gb/p/itm20a7387042b2c?pid=MOBHKHPYHHSYZWHF&lid=LSTMOBHKHPYHHSYZWHFGIS9RH&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_13&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHKHPYHHSYZWHF.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
14,"MOTOROLA g37 (PANTONE Nautical Blue, 64 GB)",MOTOROLA,14999,24999,40% off,4.3,402,27,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-nautical-blue-64-gb/p/itm5d235b295291f?pid=MOBHHWB6YAKNZGPB&lid=LSTMOBHHWB6YAKNZGPBGLLTUW&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_14&otracker=search&iid=c52eaa95-f348-4c0a-9498-7623448cf0c4.MOBHHWB6YAKNZGPB.SEARCH&ssid=kw80054rgg0000001781770994440&qH=a5594894156db043&ov_redirect=true,2026-06-18
