S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"realme P4R 5G (Silver Glare, 128 GB)",realme,18999,25999,26% off,,,,4 GB RAM,128 GB ROM,8000 mAh Lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/realme-p4r-5g-silver-glare-128-gb/p/itmb42ae388c1ef6?pid=MOBHMYR3EJZ8J2ES&lid=LSTMOBHMYR3EJZ8J2ESJIJD96&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_umMPTj_BNSZLZnjCRIEcgFZge3UbRG8OItXc9OZSdzxJXzvzveL28IJ0akZGldttt94IJUlNNgFnCuuKN2sUDW4eIQ6tENkNsF870t6Y4bjSTZxoNZA75WGIaXQkvRKa&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
2,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,12999,19999,35% off,4.2,"18,766","1,085",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
3,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10499,10999,4% off,4.4,"3,746",165,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGHKLHJJ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
4,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"3,079",162,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
5,"Samsung M06 5G (Sage Green, 128 GB)",Samsung,12859,15499,17% off,4.1,"2,922",171,4 GB RAM,128 GB ROM,5000 mAh Battery,,17.02 cm (6.7 inch) Display,50MP Rear Camera,,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYVNKR3HR&lid=LSTMOBH9UYFYVNKR3HRU5T1CI&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBH9UYFYVNKR3HR.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
6,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",MOTOROLA,14999,24999,40% off,4.3,439,29,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-impenetrable-64-gb/p/itm40c0c7bcb21fc?pid=MOBHHWB6GWE2CKHU&lid=LSTMOBHHWB6GWE2CKHUQEA6X8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHHWB6GWE2CKHU.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
7,"MOTOROLA g06 power (Pantone Tendril, 64 GB)",MOTOROLA,12999,19999,35% off,4.2,"18,766","1,085",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm2f1ca967879c9?pid=MOBHN973UQNPMAAN&lid=LSTMOBHN973UQNPMAANZHPTVN&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHN973UQNPMAAN.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
8,"POCO C85x (Sunset Gold, 64 GB)",POCO,12499,20999,40% off,4.1,"2,372",113,4 GB RAM,64 GB ROM,6300 mAh Lithium-Ion Polymer Battery,T8300 Processor,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,,https://www.flipkart.com/poco-c85x-sunset-gold-64-gb/p/itm6b8cdd362c306?pid=MOBHMGG5PYZRFMKU&lid=LSTMOBHMGG5PYZRFMKUCJZJZ4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHMGG5PYZRFMKU.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
9,"realme P4 Lite (Beach Gold, 64 GB)",realme,11999,24999,52% off,4,"3,079",162,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KF4XYHTDM&lid=LSTMOBHMX7KF4XYHTDMBW6TWC&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHMX7KF4XYHTDM.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
10,"POCO C85x (Emerald Green, 64 GB)",POCO,12499,20999,40% off,4.1,"2,372",113,4 GB RAM,64 GB ROM,6300 mAh Lithium-Ion Polymer Battery,T8300 Processor,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,,https://www.flipkart.com/poco-c85x-emerald-green-64-gb/p/itm96bce2b7909b7?pid=MOBHMGG5GHZKTSDZ&lid=LSTMOBHMGG5GHZKTSDZTARVKO&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=203edd84-3ab8-4d15-8a84-0d03dd5d146f.MOBHMGG5GHZKTSDZ.SEARCH&ppt=None&ppn=None&ssid=vtvocx8w9c0000001781858620268&qH=a5594894156db043&ov_redirect=true,2026-06-19
