S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"realme P4R 5G (Silver Glare, 128 GB)",realme,18999,34999,45% off,4.3,76,7,4 GB RAM,128 GB ROM,8000 mAh Lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/realme-p4r-5g-silver-glare-128-gb/p/itmb42ae388c1ef6?pid=MOBHMYR3EJZ8J2ES&lid=LSTMOBHMYR3EJZ8J2ESJIJD96&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_2RpBy4XvdNpEcOlBP-xF81g51I4La3AxMlW0wAnv6hi8CrGbF_Q2R1WXGQbuWmubt94IJUlNNgFnCuuKN2sUDWQ4OUdX8MqUtEefgdYX_wUjxGtX_rjMSx4XCtMYznmD&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
2,"realme P4 Lite (Beach Gold, 64 GB)",realme,11999,24999,52% off,4,"3,132",164,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KF4XYHTDM&lid=LSTMOBHMX7KF4XYHTDMBW6TWC&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHMX7KF4XYHTDM.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
3,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,12999,19999,35% off,4.2,"18,922","1,094",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
4,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10499,10999,4% off,4.3,"3,828",171,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGHKLHJJ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
5,"realme P4 Lite 5G (Mosaic Blue, 64 GB)",realme,14499,28999,50% off,4.3,"7,046",366,4 GB RAM,64 GB ROM,7000 mAh lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-5g-mosaic-blue-64-gb/p/itm90c243961f214?pid=MOBHN7A8CMJGRACT&lid=LSTMOBHN7A8CMJGRACTDRIOJU&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHN7A8CMJGRACT.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
6,"Samsung M06 5G (Sage Green, 128 GB)",Samsung,12682,16999,25% off,4.1,"2,992",174,4 GB RAM,128 GB ROM,5000 mAh Battery,,17.02 cm (6.7 inch) Display,50MP Rear Camera,,https://www.flipkart.com/samsung-m06-5g-sage-green-128-gb/p/itmcafa42dadc15c?pid=MOBH9UYFYVNKR3HR&lid=LSTMOBH9UYFYVNKR3HRU5T1CI&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBH9UYFYVNKR3HR.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
7,"realme P4R 5G (Lavender Glare, 128 GB)",realme,20999,39999,47% off,4.5,164,14,6 GB RAM,128 GB ROM,8000 mAh Lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/realme-p4r-5g-lavender-glare-128-gb/p/itmb42ae388c1ef6?pid=MOBHMYR3NPFHTFHE&lid=LSTMOBHMYR3NPFHTFHEQL7J8Y&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHMYR3NPFHTFHE.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
8,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"3,132",164,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
9,"POCO C85x (Sunset Gold, 64 GB)",POCO,12499,20999,40% off,4.1,"2,445",115,4 GB RAM,64 GB ROM,6300 mAh Lithium-Ion Polymer Battery,T8300 Processor,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,,https://www.flipkart.com/poco-c85x-sunset-gold-64-gb/p/itm6b8cdd362c306?pid=MOBHMGG5PYZRFMKU&lid=LSTMOBHMGG5PYZRFMKUCJZJZ4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHMGG5PYZRFMKU.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
10,"MOTOROLA g06 power (Pantone Tendril, 64 GB)",MOTOROLA,12999,19999,35% off,4.2,"18,922","1,094",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm2f1ca967879c9?pid=MOBHN973UQNPMAAN&lid=LSTMOBHN973UQNPMAANZHPTVN&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=bfb8ed4a-60eb-4772-a520-c1171f72a564.MOBHN973UQNPMAAN.SEARCH&ppt=None&ppn=None&ssid=0xlj1599a80000001782029623317&qH=a5594894156db043&ov_redirect=true,2026-06-21
