S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"HMD VIBE2 5G (Nordic Blue, 128 GB)",HMD,18999,24999,24% off,4.4,279,14,6 GB RAM,128 GB ROM,6000 mAh Li-Poly Battery,,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/hmd-vibe2-5g-nordic-blue-128-gb/p/itm71c3ae6df2a26?pid=MOBHNS6YYSAJPVHZ&lid=LSTMOBHNS6YYSAJPVHZHEOKCG&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHNS6YYSAJPVHZ.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
2,"realme P4 Lite (Sea Blue, 64 GB)",realme,12999,24999,48% off,4,"4,651",287,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UZUBNOT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
3,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10999,,,4.2,"6,892",407,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGJBHZI8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
4,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",MOTOROLA,13999,24999,44% off,4.3,"1,861",100,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-impenetrable-64-gb/p/itm40c0c7bcb21fc?pid=MOBHHWB6GWE2CKHU&lid=LSTMOBHHWB6GWE2CKHUQEA6X8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHHWB6GWE2CKHU.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
5,"Ai+ Nova 2 Neo 5G (Blue, 64 GB)",Ai+,13999,17999,22% off,4.4,564,86,4 GB RAM,64 GB ROM,6000 mAh Li-polymer Battery,Dimensity 6300 Processor,17.13 cm (6.745 inch) HD+ Display,48MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-neo-5g-blue-64-gb/p/itm9cecebc4cb5bb?pid=MOBHZ8ZMUE2GBADZ&lid=LSTMOBHZ8ZMUE2GBADZGIDDQX&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHZ8ZMUE2GBADZ.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
6,"Ai+ Nova 2 Neo 5G (Blue, 128 GB)",Ai+,16999,19999,15% off,4.2,405,43,6 GB RAM,128 GB ROM,6000 mAh Li-polymer Battery,Dimensity 6300 Processor,17.13 cm (6.745 inch) HD+ Display,48MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-neo-5g-blue-128-gb/p/itmbe9c32c02c347?pid=MOBHZ8ZMMVSHPYKG&lid=LSTMOBHZ8ZMMVSHPYKGK2DZD5&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHZ8ZMMVSHPYKG.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
7,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"4,651",287,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
8,"Ai+ Pulse 2 (Green, 64 GB)",Ai+,10999,,,4.2,"6,892",407,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-green-64-gb/p/itm8475838cc2064?pid=MOBHKHPYZHDPMZSR&lid=LSTMOBHKHPYZHDPMZSRLBINVS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHKHPYZHDPMZSR.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
9,"Ai+ Pulse 2 (Blue, 64 GB)",Ai+,10999,,,4.2,"6,892",407,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-64-gb/p/itm9168504534079?pid=MOBHKHPYZFF8KUPC&lid=LSTMOBHKHPYZFF8KUPCXXI7UT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHKHPYZFF8KUPC.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
10,"MOTOROLA g37 power (PANTONE Capri, 64 GB)",MOTOROLA,14999,26499,43% off,4.2,"2,943",351,4 GB RAM,64 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-64-gb/p/itmde5e2403ff964?pid=MOBHMHG65H7QGMHS&lid=LSTMOBHMHG65H7QGMHS4CXIMU&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=1bc0831e-fdcf-4019-a6c7-a0a487fad446.MOBHMHG65H7QGMHS.SEARCH&ppt=None&ppn=None&ssid=dx62p211340000001785564802676&qH=a5594894156db043&ov_redirect=true,2026-08-01
