S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"Google Pixel 10a (Fog, 256 GB)",Google,49999,,,4.5,"1,724",166,8 GB RAM,256 GB ROM,5100 mAh Lithium Battery,Tensor G4 Processor,16.0 cm (6.3 inch) Full HD+ AMOLED Display,48MP + 13MP | 13MP Front Camera,,https://www.flipkart.com/google-pixel-10a-fog-256-gb/p/itmeaa46d52e228a?pid=MOBHK7FHFTXREG7T&lid=LSTMOBHK7FHFTXREG7T27ARKT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_4ZbwgHBre0CdxkvcLwbBj6-YYgOwVaeC1T-403hM_MFlSr9IU_Zl9a_7AdFYogMe2Fsvm7vsgSmuFAc_5XfuBhHsfwwsoNz1tpg8yp2jcLsUbVerBkYCn-YhEKhWcl6R&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
2,"Google Pixel 10a (Lavender, 256 GB)",Google,49999,,,4.5,"1,724",166,8 GB RAM,256 GB ROM,5100 mAh Lithium Battery,Tensor G4 Processor,16.0 cm (6.3 inch) Full HD+ AMOLED Display,48MP + 13MP | 13MP Front Camera,,https://www.flipkart.com/google-pixel-10a-lavender-256-gb/p/itmba3073a0f391e?pid=MOBHK7FH66BBP4PE&lid=LSTMOBHK7FH66BBP4PEJ458QF&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=en_4ZbwgHBre0CdxkvcLwbBj6-YYgOwVaeC1T-403hM_MFKg1tY7-I4c2SFL-_ZrT2zhjSytpPwEruKtkrQDdzGbxHsfwwsoNz1tpg8yp2jcLsUbVerBkYCn-YhEKhWcl6R&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
3,"realme P4 Lite (Beach Gold, 128 GB)",realme,13499,13999,3% off,4,"3,441",190,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=6081d4ab-8914-4874-99a8-97cd86317f1b.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
4,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,12999,19999,35% off,4.2,"19,595","1,149",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=6081d4ab-8914-4874-99a8-97cd86317f1b.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
5,"Google Pixel 10a (Obsidian, 256 GB)",Google,49999,,,4.5,"1,724",166,8 GB RAM,256 GB ROM,5100 mAh Lithium Battery,Tensor G4 Processor,16.0 cm (6.3 inch) Full HD+ AMOLED Display,48MP + 13MP | 13MP Front Camera,,https://www.flipkart.com/google-pixel-10a-obsidian-256-gb/p/itm362a5eb9c09e6?pid=MOBHK7FHRFDZ8CYY&lid=LSTMOBHK7FHRFDZ8CYYD73BKO&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=en_4ZbwgHBre0CdxkvcLwbBj6-YYgOwVaeC1T-403hM_MFIi3sA9TVupmWEZpEjeYd9ItVv0302f7Rkl9HXuXyNHBHsfwwsoNz1tpg8yp2jcLsUbVerBkYCn-YhEKhWcl6R&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
6,"Google Pixel 10a (Berry, 256 GB)",Google,49999,,,4.5,"1,724",166,8 GB RAM,256 GB ROM,5100 mAh Lithium Battery,Tensor G4 Processor,16.0 cm (6.3 inch) Full HD+ AMOLED Display,48MP + 13MP | 13MP Front Camera,,https://www.flipkart.com/google-pixel-10a-berry-256-gb/p/itm6cef0b0df57f9?pid=MOBHK7FHYUEFHSZG&lid=LSTMOBHK7FHYUEFHSZGTZMZAA&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=en_4ZbwgHBre0CdxkvcLwbBj6-YYgOwVaeC1T-403hM_ME5ZqVKeKpxnUruGODNyKRN5ywPTLxMJvoh02gocMks6BHsfwwsoNz1tpg8yp2jcLsUbVerBkYCn-YhEKhWcl6R&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
7,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",MOTOROLA,14999,24999,40% off,4.3,885,53,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-impenetrable-64-gb/p/itm40c0c7bcb21fc?pid=MOBHHWB6GWE2CKHU&lid=LSTMOBHHWB6GWE2CKHUQEA6X8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=6081d4ab-8914-4874-99a8-97cd86317f1b.MOBHHWB6GWE2CKHU.SEARCH&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
8,"realme P4 Lite 5G (Mosaic Green, 64 GB)",realme,15499,28999,46% off,4.3,"8,179",416,4 GB RAM,64 GB ROM,7000 mAh lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inches) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-5g-mosaic-green-64-gb/p/itm90c243961f214?pid=MOBHN7A8SZ7F9C7T&lid=LSTMOBHN7A8SZ7F9C7TYM0TGX&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=6081d4ab-8914-4874-99a8-97cd86317f1b.MOBHN7A8SZ7F9C7T.SEARCH&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
9,"Samsung Galaxy F36 5G (Black, 128 GB)",Samsung,25499,,,4.3,"11,656",794,6 GB RAM,128 GB ROM,5000 mAh Battery,Samsung Exynos 1380 Processor,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP + 2MP | 13MP Front Camera,,https://www.flipkart.com/samsung-galaxy-f36-5g-black-128-gb/p/itm195a9802ad40d?pid=MOBHMWFXYYAJFTZJ&lid=LSTMOBHMWFXYYAJFTZJBODLEA&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=6081d4ab-8914-4874-99a8-97cd86317f1b.MOBHMWFXYYAJFTZJ.SEARCH&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
10,"vivo T5x 5G (Cyber Green, 128 GB)",vivo,22999,28999,20% off,4.4,"12,588",709,6 GB RAM,128 GB ROM,7200 mAh Li-ion Battery,Dimensity 7400-Turbo Processor,17.17 cm (6.76 inch) Display,50MP + 2MP | 32MP Front Camera,,https://www.flipkart.com/vivo-t5x-5g-cyber-green-128-gb/p/itm7da8aa253e72b?pid=MOBHH69NGFZAYK6M&lid=LSTMOBHH69NGFZAYK6MYQKNQD&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=6081d4ab-8914-4874-99a8-97cd86317f1b.MOBHH69NGFZAYK6M.SEARCH&ppt=None&ppn=None&ssid=d6n3pct2ww0000001782892420803&qH=a5594894156db043&ov_redirect=true,2026-07-01
