S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"vivo T5 Lite 44W 5G (Wave Blue, 128 GB)",vivo,21999,38499,42% off,4.2,338,37,6 GB RAM,128 GB ROM,6500 mAh Li-ion Battery,Dimensity 6300 5G Processor,17.12 cm (6.74 inch) Full HD Display,50MP + 0.08MP | 5MP Front Camera,5G,https://www.flipkart.com/vivo-t5-lite-44w-5g-wave-blue-128-gb/p/itm5420c578ec2df?pid=MOBHNDTD57UJUK9Q&lid=LSTMOBHNDTD57UJUK9QMGWRRW&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHNDTD57UJUK9Q.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
2,"realme P4 Lite (Sea Blue, 64 GB)",realme,12999,24999,48% off,4,"4,835",299,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UYOGZ28&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
3,"HMD VIBE2 5G (Nordic Blue, 128 GB)",HMD,18999,24999,24% off,4.3,309,17,6 GB RAM,128 GB ROM,6000 mAh Li-Poly Battery,,17.02 cm (6.7 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/hmd-vibe2-5g-nordic-blue-128-gb/p/itm71c3ae6df2a26?pid=MOBHNS6YYSAJPVHZ&lid=LSTMOBHNS6YYSAJPVHZHEOKCG&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHNS6YYSAJPVHZ.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
4,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10999,,,4.2,"7,308",441,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGJBHZI8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
5,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"4,835",299,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUTZ3SXB&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
6,"POCO M8 (Carbon Black, 128 GB)",POCO,26999,27999,3% off,4.3,"2,010",184,8 GB RAM,128 GB ROM,5520 mAh Battery,,17.2 cm (6.77 inch) Full HD+ Display,50MP Rear Camera | 20MP Front Camera,,https://www.flipkart.com/poco-m8-carbon-black-128-gb/p/itm4a387788f045c?pid=MOBHMGG5FFCEPT3V&lid=LSTMOBHMGG5FFCEPT3VOQI1H2&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHMGG5FFCEPT3V.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
7,"MOTOROLA g37 power (PANTONE Capri, 128 GB)",MOTOROLA,17999,30499,40% off,4.2,"3,173",370,4 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-128-gb/p/itm30e95f8678f47?pid=MOBHHVFYHG7QUTDZ&lid=LSTMOBHHVFYHG7QUTDZUQRD2N&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHHVFYHG7QUTDZ.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
8,"realme C100x (Golden Coast, 64 GB)",realme,14999,29999,50% off,4,48,8,4 GB RAM,64 GB ROM,8000 mAh Battery,T7250 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-c100x-golden-coast-64-gb/p/itm488eb4026680c?pid=MOBHZMDTJ8MRNENF&lid=LSTMOBHZMDTJ8MRNENF0B9EB3&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHZMDTJ8MRNENF.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
9,"Ai+ Pulse 2 (Blue, 128 GB)",Ai+,11999,15499,22% off,4.2,"7,308",441,4 GB RAM,128 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-128-gb/p/itm982c299d0417e?pid=MOBHZPMCBYNXVYDB&lid=LSTMOBHZPMCBYNXVYDBFJKORE&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHZPMCBYNXVYDB.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
10,"MOTOROLA g37 power (PANTONE Capri, 64 GB)",MOTOROLA,16999,26499,35% off,4.2,"3,173",370,4 GB RAM,64 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-64-gb/p/itmde5e2403ff964?pid=MOBHMHG65H7QGMHS&lid=LSTMOBHMHG65H7QGMHS4CXIMU&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=6eb39f43-783f-48bb-9bdf-45245bc02acf.MOBHMHG65H7QGMHS.SEARCH&ppt=None&ppn=None&ssid=anf6idedhc0000001785909903909&qH=a5594894156db043&ov_redirect=true,2026-08-05
