S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"BOLTT ACE 5G (Arctic White, 128 GB)",BOLTT,13999,26999,48% off,,,,6 GB RAM,128 GB ROM,6000 mAh Lithium ion Battery,T8200 Processor,17.25 cm (6.79 inch) HD+ Display,64MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/boltt-ace-5g-arctic-white-128-gb/p/itmc7395bddbb3a4?pid=MOBHPP599JHZUZBV&lid=LSTMOBHPP599JHZUZBVN1I3RX&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_JuCc3VjT_Wbk1DkX0QBYpH-s3PS4tue1wfRFpJoBICePik2u3Vjmy0mjEuo8uBEna-iYHaXN9oJgg_05xndya-17LOh_UP2a14VPYtBMMOQfUYcvpIUfEDawdqbH6ABT&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
2,"BOLTT ACE 5G (Burgundy Bliss, 64 GB)",BOLTT,12999,24999,48% off,,,,4 GB RAM,64 GB ROM,6000 mAh Lithium ion Battery,T8200 Processor,17.25 cm (6.79 inch) HD+ Display,64MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/boltt-ace-5g-burgundy-bliss-64-gb/p/itm2eb0f483effdd?pid=MOBHPP59ASQZWSGX&lid=LSTMOBHPP59ASQZWSGX7OOARS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=en_JuCc3VjT_Wbk1DkX0QBYpH-s3PS4tue1wfRFpJoBICenEN7QGiTqKiV-UOOAqRiGB4ga7rWMeHqsGT9GLhSqj1aMb2XSLomL-UUYBiHr_VUfUYcvpIUfEDawdqbH6ABT&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
3,"Samsung Galaxy F07 (Green, 64 GB)",Samsung,11999,,,4.2,"9,857",699,4 GB RAM,64 GB ROM,5000 mAh Battery,Helio G99 Processor,17.02 cm (6.7 inch) Full HD+ Super AMOLED Display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/samsung-galaxy-f07-green-64-gb/p/itm294cbb65839e6?pid=MOBHMGHHXHYZEAVB&lid=LSTMOBHMGHHXHYZEAVBR68SR7&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=0db43e2c-ed6b-4739-8572-319d15166ff8.MOBHMGHHXHYZEAVB.SEARCH&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
4,"LAVA Virat V1 (Nilgiri Blue, 64 GB)",LAVA,9999,12999,23% off,4.1,346,41,4 GB RAM,64 GB ROM,5000 mAh Battery,,17.14 cm (6.75 inch) Display,13MP Rear Camera,,https://www.flipkart.com/lava-virat-v1-nilgiri-blue-64-gb/p/itmed225fe6c3db4?pid=MOBHZ7KNECQC8BKW&lid=LSTMOBHZ7KNECQC8BKWAYNZG1&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=0db43e2c-ed6b-4739-8572-319d15166ff8.MOBHZ7KNECQC8BKW.SEARCH&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
5,"realme P4s 5G (Titanium Gray, 128 GB)",realme,34999,48999,28% off,,,,8 GB RAM,128 GB ROM,8000 mAh Battery,Dimensity 7400 Processor,17.22 cm (6.78 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,,https://www.flipkart.com/realme-p4s-5g-titanium-gray-128-gb/p/itmcb2e7e552a5ef?pid=MOBHPBHATYTBGZXN&lid=LSTMOBHPBHATYTBGZXNW48J46&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=en_JuCc3VjT_Wbk1DkX0QBYpH-s3PS4tue1wfRFpJoBICfpVKv9oPfDqILhHa5mIufXz7co-kHdlkXrCqiKS0jRLUCPUkX3R4BNBe3us0yd9rofUYcvpIUfEDawdqbH6ABT&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
6,"BOLTT ACE 5G (Sky Blue, 128 GB)",BOLTT,14999,28999,48% off,,,,8 GB RAM,128 GB ROM,6000 mAh Lithium ion Battery,T8200 Processor,17.25 cm (6.79 inch) HD+ Display,64MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/boltt-ace-5g-sky-blue-128-gb/p/itm46174bc539701?pid=MOBHPP59ZJQ4HG8S&lid=LSTMOBHPP59ZJQ4HG8SINFF0A&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=en_JuCc3VjT_Wbk1DkX0QBYpH-s3PS4tue1wfRFpJoBICfPusW3fh8SoTHtxnRBktuAr5VyqNsfIZ1OckgBDSurnenC_b-iA4l-YHDDyoMl8toDzaocIY79hX_S4tg0aGy2&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
7,"MOTOROLA g37 power (PANTONE Capri, 128 GB)",MOTOROLA,19999,30499,34% off,4.2,"7,223",687,4 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-128-gb/p/itm30e95f8678f47?pid=MOBHHVFYHG7QUTDZ&lid=LSTMOBHHVFYHG7QUTDZUQRD2N&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=0db43e2c-ed6b-4739-8572-319d15166ff8.MOBHHVFYHG7QUTDZ.SEARCH&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
8,"LAVA Bold N2 Lite (Kolar Gold, 64 GB)",LAVA,8999,11499,21% off,4,596,30,3 GB RAM,64 GB ROM,5000 mAh Li-ion Battery,,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/lava-bold-n2-lite-kolar-gold-64-gb/p/itm89829830bc4ff?pid=MOBHNSAGKCHVH7ST&lid=LSTMOBHNSAGKCHVH7ST0XSKKQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=0db43e2c-ed6b-4739-8572-319d15166ff8.MOBHNSAGKCHVH7ST.SEARCH&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
9,"LAVA Virat V1 (Himalayan Silver, 64 GB)",LAVA,9999,12999,23% off,4.1,346,41,4 GB RAM,64 GB ROM,5000 mAh Battery,,17.14 cm (6.75 inch) Display,13MP Rear Camera,,https://www.flipkart.com/lava-virat-v1-himalayan-silver-64-gb/p/itmed225fe6c3db4?pid=MOBHZ7KNHMYUSZBW&lid=LSTMOBHZ7KNHMYUSZBWGD1ZI4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=0db43e2c-ed6b-4739-8572-319d15166ff8.MOBHZ7KNHMYUSZBW.SEARCH&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
10,"OPPO K14x 5G (Icy Blue, 128 GB)",OPPO,17999,,,4.3,"7,216",729,4 GB RAM,128 GB ROM,6500 mAh Battery,Dimensity 6300 Processor,17.14 cm (6.75 inch) HD+ Display,,,https://www.flipkart.com/oppo-k14x-5g-icy-blue-128-gb/p/itm188c7a4b69292?pid=MOBHJQQ4JWFJQCGC&lid=LSTMOBHJQQ4JWFJQCGCO9UQAV&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=0db43e2c-ed6b-4739-8572-319d15166ff8.MOBHJQQ4JWFJQCGC.SEARCH&ppt=None&ppn=None&ssid=cg5p6cw6sw0000001788170263616&qH=a5594894156db043&ov_redirect=true,2026-08-31
