S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"Ai+ Nova 2 Neo 5G (Blue, 128 GB)",Ai+,16999,19999,15% off,4.3,364,36,6 GB RAM,128 GB ROM,6000 mAh Li-polymer Battery,Dimensity 6300 Processor,17.13 cm (6.745 inch) HD+ Display,48MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-neo-5g-blue-128-gb/p/itmbe9c32c02c347?pid=MOBHZ8ZMMVSHPYKG&lid=LSTMOBHZ8ZMMVSHPYKGK2DZD5&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHZ8ZMMVSHPYKG.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
2,"Ai+ Nova 2 Neo 5G (Blue, 64 GB)",Ai+,11999,17999,33% off,4.4,443,27,4 GB RAM,64 GB ROM,6000 mAh Li-polymer Battery,Dimensity 6300 Processor,17.13 cm (6.745 inch) HD+ Display,48MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-neo-5g-blue-64-gb/p/itm9cecebc4cb5bb?pid=MOBHZ8ZMUE2GBADZ&lid=LSTMOBHZ8ZMUE2GBADZGIDDQX&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_TrendingId_tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHZ8ZMUE2GBADZ.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
3,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",MOTOROLA,13999,24999,44% off,4.4,"1,782",94,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-impenetrable-64-gb/p/itm40c0c7bcb21fc?pid=MOBHHWB6GWE2CKHU&lid=LSTMOBHHWB6GWE2CKHUQEA6X8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHHWB6GWE2CKHU.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
4,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,13999,19999,30% off,4.2,"21,175","1,429",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
5,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGJBHZI8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
6,"Ai+ Pulse 2 (Blue, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-64-gb/p/itm9168504534079?pid=MOBHKHPYZFF8KUPC&lid=LSTMOBHKHPYZFF8KUPCXXI7UT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHKHPYZFF8KUPC.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
7,"realme P4 Lite (Sea Blue, 64 GB)",realme,12999,24999,48% off,4,"4,561",282,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UZUBNOT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
8,"MOTOROLA g37 (PANTONE Capri, 64 GB)",MOTOROLA,13999,24999,44% off,4.4,"1,782",94,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-capri-64-gb/p/itm54f0e687c7b29?pid=MOBHHWB6U3Q3RYFD&lid=LSTMOBHHWB6U3Q3RYFDYGJVNO&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHHWB6U3Q3RYFD.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
9,"Ai+ Pulse 2 (Green, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-green-64-gb/p/itm8475838cc2064?pid=MOBHKHPYZHDPMZSR&lid=LSTMOBHKHPYZHDPMZSRLBINVS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHKHPYZHDPMZSR.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
10,"Ai+ Nova 2 Neo 5G (Black, 64 GB)",Ai+,11999,17999,33% off,4.4,443,27,4 GB RAM,64 GB ROM,6000 mAh Li-polymer Battery,Dimensity 6300 Processor,17.13 cm (6.745 inch) HD+ Display,48MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-neo-5g-black-64-gb/p/itmcd9f38718a156?pid=MOBHZ8ZM7HKHGBZ8&lid=LSTMOBHZ8ZM7HKHGBZ8SKMNDP&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_TrendingId_tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=1107a74f-5486-4b1d-aabb-b2e9308ab573.MOBHZ8ZM7HKHGBZ8.SEARCH&ppt=None&ppn=None&ssid=dyk5927tjk0000001785305539109&qH=a5594894156db043&ov_redirect=true,2026-07-29
