S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"MOTOROLA g37 power (PANTONE Impenetrable, 64 GB)",MOTOROLA,14999,26499,43% off,4.2,"3,880",418,4 GB RAM,64 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-impenetrable-64-gb/p/itm81d7e4cd8df99?pid=MOBHMHG6CCNS5UWR&lid=LSTMOBHMHG6CCNS5UWRI3ZOW4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHMHG6CCNS5UWR.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
2,"MOTOROLA g37 power (PANTONE Impenetrable, 128 GB)",MOTOROLA,19999,37999,47% off,4.1,973,85,8 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-impenetrable-128-gb/p/itme156c3f7d6280?pid=MOBHMX5Y6G5HKRFS&lid=LSTMOBHMX5Y6G5HKRFSN2GAKT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHMX5Y6G5HKRFS.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
3,"realme C100x (Golden Coast, 64 GB)",realme,14949,29999,50% off,4,69,11,4 GB RAM,64 GB ROM,8000 mAh Battery,T7250 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-c100x-golden-coast-64-gb/p/itm488eb4026680c?pid=MOBHZMDTJ8MRNENF&lid=LSTMOBHZMDTJ8MRNENF2U2DHM&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHZMDTJ8MRNENF.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
4,"Ai+ Pulse 2 (Blue, 128 GB)",Ai+,10499,15499,32% off,4.2,"7,899",492,4 GB RAM,128 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-128-gb/p/itm982c299d0417e?pid=MOBHZPMCBYNXVYDB&lid=LSTMOBHZPMCBYNXVYDBFJKORE&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHZPMCBYNXVYDB.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
5,"realme P4x 5G (Matte Silver, 128 GB)",realme,21999,38999,43% off,4.3,"14,078","1,203",6 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 7400 Ultra Processor,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/realme-p4x-5g-matte-silver-128-gb/p/itm575b1540859e4?pid=MOBHN7A8H9WAG4PD&lid=LSTMOBHN7A8H9WAG4PD4J7IQE&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHN7A8H9WAG4PD.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
6,"vivo T5 Lite 44W 5G (Twilight Shadow, 128 GB)",vivo,21999,38499,42% off,4.3,800,71,6 GB RAM,128 GB ROM,6500 mAh Li-ion Battery,Dimensity 6300 5G Processor,17.12 cm (6.74 inch) Full HD Display,50MP + 0.08MP | 5MP Front Camera,5G,https://www.flipkart.com/vivo-t5-lite-44w-5g-twilight-shadow-128-gb/p/itm5420c578ec2df?pid=MOBHNDTDY4HFGV2T&lid=LSTMOBHNDTDY4HFGV2TRKEJQX&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHNDTDY4HFGV2T.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
7,"MOTOROLA g37 power (PANTONE Capri, 128 GB)",MOTOROLA,15999,30499,47% off,4.2,"3,880",418,4 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-128-gb/p/itm30e95f8678f47?pid=MOBHHVFYHG7QUTDZ&lid=LSTMOBHHVFYHG7QUTDZUQRD2N&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHHVFYHG7QUTDZ.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
8,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,13999,19999,30% off,4.2,"22,051","1,514",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
9,"MOTOROLA Edge 70 (PANTONE Bronze Green, 256 GB)",MOTOROLA,27999,34999,20% off,4.4,"7,868",959,8 GB RAM,256 GB ROM,5000 mAh Battery,Snapdragon® 7 Gen 4 Processor,17.02 cm (6.7 inch) Full HD+ AMOLED Display,50MP + 50MP | 50MP Front Camera,,https://www.flipkart.com/motorola-edge-70-pantone-bronze-green-256-gb/p/itmc5fb119ade9e5?pid=MOBHHWX6CZUZFKBP&lid=LSTMOBHHWX6CZUZFKBPB8NEDK&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHHWX6CZUZFKBP.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
10,"realme P4 Lite (Beach Gold, 64 GB)",realme,12999,24999,48% off,4,"5,151",320,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KF4XYHTDM&lid=LSTMOBHMX7KF4XYHTDMBW6TWC&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=1eb8272a-d3bb-4b61-966b-85ac11d5fe49.MOBHMX7KF4XYHTDM.SEARCH&ppt=None&ppn=None&ssid=d57gb63hhs0000001786423617956&qH=a5594894156db043&ov_redirect=true,2026-08-11
