S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"realme P4R 5G (Silver Glare, 128 GB)",realme,19499,34999,44% off,4.3,"1,102",88,4 GB RAM,128 GB ROM,8000 mAh Lithium-ion polymer Battery,Dimensity 6300 Processor,17.27 cm (6.8 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/realme-p4r-5g-silver-glare-128-gb/p/itmb42ae388c1ef6?pid=MOBHMYR3EJZ8J2ES&lid=LSTMOBHMYR3EJZ8J2ESJIJD96&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_kRZvuPKCSuKKgVbUHqrYbZKfjIH2jr2-ejAcNA3Mzq1Xm6x7oiIP2wXH3E3URY8kt94IJUlNNgFnCuuKN2sUDVkGU6OVnKRB_WXlkD3Rvr8Cgt9XoVq-ZKBLIi-A7__q&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
2,"realme P4 Lite (Sea Blue, 64 GB)",realme,12999,24999,48% off,4,"4,194",239,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UZUBNOT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
3,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10499,10999,4% off,4.3,"6,094",311,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGJBHZI8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
4,"MOTOROLA g37 power (PANTONE Capri, 64 GB)",MOTOROLA,15999,26499,39% off,4.2,"1,810",214,4 GB RAM,64 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-capri-64-gb/p/itmde5e2403ff964?pid=MOBHMHG65H7QGMHS&lid=LSTMOBHMHG65H7QGMHS4CXIMU&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHMHG65H7QGMHS.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
5,"realme P4 Lite (Beach Gold, 128 GB)",realme,13999,,,4,"4,194",239,4 GB RAM,128 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-beach-gold-128-gb/p/itm534024e2339ef?pid=MOBHK685K37ZCSPU&lid=LSTMOBHK685K37ZCSPUMX2U0S&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHK685K37ZCSPU.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
6,"Ai+ Pulse 2 (Blue, 64 GB)",Ai+,10499,10999,4% off,4.3,"6,094",311,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-64-gb/p/itm9168504534079?pid=MOBHKHPYZFF8KUPC&lid=LSTMOBHKHPYZFF8KUPCXXI7UT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHKHPYZFF8KUPC.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
7,"POCO C81x (Ice Blue, 64 GB)",POCO,11499,18999,39% off,4.1,335,21,3 GB RAM,64 GB ROM,5200 mAh Lithium-Ion Polymer Battery,T7250 Processor,17.48 cm (6.88 inch) Display,13MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/poco-c81x-ice-blue-64-gb/p/itmf2e3aacd5257e?pid=MOBHMYWRWPE4S8G6&lid=LSTMOBHMYWRWPE4S8G6INAADH&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHMYWRWPE4S8G6.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
8,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,13999,19999,30% off,4.2,"20,834","1,404",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
9,"MOTOROLA g06 power (Pantone Tendril, 64 GB)",MOTOROLA,13999,19999,30% off,4.2,"20,834","1,404",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tendril-64-gb/p/itm2f1ca967879c9?pid=MOBHN973UQNPMAAN&lid=LSTMOBHN973UQNPMAANZHPTVN&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHN973UQNPMAAN.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
10,"Ai+ Pulse 2 (Green, 64 GB)",Ai+,10499,10999,4% off,4.3,"6,094",311,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-green-64-gb/p/itm8475838cc2064?pid=MOBHKHPYZHDPMZSR&lid=LSTMOBHKHPYZHDPMZSRLBINVS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=f8e22b47-1df7-4f4b-a1a5-15c2413c43e6.MOBHKHPYZHDPMZSR.SEARCH&ppt=None&ppn=None&ssid=68kw8a7omo0000001784700531777&qH=a5594894156db043&ov_redirect=true,2026-07-22
