S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGJBHZI8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
2,"MOTOROLA g06 power (Pantone tapestry, 64 GB)",MOTOROLA,13999,19999,30% off,4.2,"21,175","1,429",4 GB RAM,64 GB ROM,7000 mAh Battery,Helio G81 Processor,17.48 cm (6.88 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g06-power-pantone-tapestry-64-gb/p/itm29390fa68401d?pid=MOBHN973FFYHGUGG&lid=LSTMOBHN973FFYHGUGG27JKDQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHN973FFYHGUGG.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
3,"MOTOROLA g37 (PANTONE Impenetrable, 64 GB)",MOTOROLA,13999,24999,44% off,4.4,"1,782",94,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-impenetrable-64-gb/p/itm40c0c7bcb21fc?pid=MOBHHWB6GWE2CKHU&lid=LSTMOBHHWB6GWE2CKHUQEA6X8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_TrendingId_tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHHWB6GWE2CKHU.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
4,"Ai+ Pulse 2 (Green, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-green-64-gb/p/itm8475838cc2064?pid=MOBHKHPYZHDPMZSR&lid=LSTMOBHKHPYZHDPMZSRLBINVS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHKHPYZHDPMZSR.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
5,"Ai+ Pulse 2 (Blue, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-blue-64-gb/p/itm9168504534079?pid=MOBHKHPYZFF8KUPC&lid=LSTMOBHKHPYZFF8KUPCXXI7UT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHKHPYZFF8KUPC.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
6,"Ai+ Nova 2 Neo 5G (Blue, 128 GB)",Ai+,13999,19999,30% off,4.3,364,36,6 GB RAM,128 GB ROM,6000 mAh Li-polymer Battery,Dimensity 6300 Processor,17.13 cm (6.745 inch) HD+ Display,48MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-nova-2-neo-5g-blue-128-gb/p/itmbe9c32c02c347?pid=MOBHZ8ZMMVSHPYKG&lid=LSTMOBHZ8ZMMVSHPYKGK2DZD5&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHZ8ZMMVSHPYKG.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
7,"realme P4 Lite (Sea Blue, 64 GB)",realme,11999,24999,52% off,4,"4,430",270,4 GB RAM,64 GB ROM,6300 mAh Battery,T7250 Processor,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/realme-p4-lite-sea-blue-64-gb/p/itm029fbc88fdc91?pid=MOBHMX7KEQPFYJ5U&lid=LSTMOBHMX7KEQPFYJ5UZUBNOT&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHMX7KEQPFYJ5U.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
8,"Ai+ Pulse 2 (Pink, 64 GB)",Ai+,10999,,,4.3,"6,546",362,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-pink-64-gb/p/itmb3d9ab3459289?pid=MOBHKHPYGPUYAFQH&lid=LSTMOBHKHPYGPUYAFQHBVI3RO&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHKHPYGPUYAFQH.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
9,"MOTOROLA g37 (PANTONE Capri, 64 GB)",MOTOROLA,13999,24999,44% off,4.4,"1,782",94,4 GB RAM,64 GB ROM,5200 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-pantone-capri-64-gb/p/itm54f0e687c7b29?pid=MOBHHWB6U3Q3RYFD&lid=LSTMOBHHWB6U3Q3RYFDYGJVNO&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHHWB6U3Q3RYFD.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
10,"MOTOROLA g37 power (PANTONE Impenetrable, 128 GB)",MOTOROLA,15999,30499,47% off,4.2,"2,537",299,4 GB RAM,128 GB ROM,7000 mAh Battery,Dimensity 6400 Processor,16.92 cm (6.66 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/motorola-g37-power-pantone-impenetrable-128-gb/p/itm566f6ada1190f?pid=MOBHHVFYC3QU3CAQ&lid=LSTMOBHHVFYC3QU3CAQGXXTZS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=50268994-e276-472e-8501-0c811c686e92.MOBHHVFYC3QU3CAQ.SEARCH&ppt=None&ppn=None&ssid=h38vpyuu9c0000001785218824591&qH=a5594894156db043&ov_redirect=true,2026-07-28
