S.No,Product Name,Brand,Price,Original Price,Discount,Rating,Rating Count,Review Count,RAM,ROM,Battery,Processor,Display Size,Camera,Network Type,Product URL,Scraped Date
1,"realme P4s 5G (Titanium Gray, 128 GB)",realme,34999,48999,28% off,,,,8 GB RAM,128 GB ROM,8000 mAh Battery,Dimensity 7400 Processor,17.22 cm (6.78 inch) Full HD+ AMOLED Display,50MP + 8MP | 16MP Front Camera,,https://www.flipkart.com/realme-p4s-5g-titanium-gray-128-gb/p/itmcb2e7e552a5ef?pid=MOBHPBHATYTBGZXN&lid=LSTMOBHPBHATYTBGZXNW48J46&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_1&otracker=search&fm=organic&iid=en_6BPbUAcHV_gc99-mz47ol4iJRPvWeTM_tzY1y_QUp9t1GrzxbRGRW8FcN9Doadi70Ij6hm4z6ADXDJfHBPiKqrfSELJBZT6O-etrmTN3vNuSEVU-VhAqkOaRcCAUEj63&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
2,"Samsung Galaxy F07 (Green, 64 GB)",Samsung,11999,,,4.2,"10,008",715,4 GB RAM,64 GB ROM,5000 mAh Battery,Helio G99 Processor,17.02 cm (6.7 inch) Full HD+ Super AMOLED Display,50MP + 2MP | 8MP Front Camera,,https://www.flipkart.com/samsung-galaxy-f07-green-64-gb/p/itm294cbb65839e6?pid=MOBHMGHHXHYZEAVB&lid=LSTMOBHMGHHXHYZEAVBR68SR7&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHMGHHXHYZEAVB.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
3,"LAVA Virat V1 (Nilgiri Blue, 64 GB)",LAVA,9999,12999,23% off,4,424,49,4 GB RAM,64 GB ROM,5000 mAh Battery,,17.14 cm (6.75 inch) Display,13MP Rear Camera,,https://www.flipkart.com/lava-virat-v1-nilgiri-blue-64-gb/p/itmed225fe6c3db4?pid=MOBHZ7KNECQC8BKW&lid=LSTMOBHZ7KNECQC8BKWAYNZG1&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_3&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHZ7KNECQC8BKW.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
4,"Ai+ Pulse 2 (Purple, 64 GB)",Ai+,10999,,,4.1,"11,183",777,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-purple-64-gb/p/itmdc910ae2ff0c1?pid=MOBHKHPYQHGDVRTG&lid=LSTMOBHKHPYQHGDVRTGJBHZI8&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_4&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHKHPYQHGDVRTG.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
5,"LAVA Bold N2 Lite (Kolar Gold, 64 GB)",LAVA,9299,11499,19% off,4,660,33,3 GB RAM,64 GB ROM,5000 mAh Li-ion Battery,,17.14 cm (6.75 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,,https://www.flipkart.com/lava-bold-n2-lite-kolar-gold-64-gb/p/itm89829830bc4ff?pid=MOBHNSAGKCHVH7ST&lid=LSTMOBHNSAGKCHVH7ST0XSKKQ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_5&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHNSAGKCHVH7ST.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
6,"POCO M8 Power 5G (Blaze Orange, 128 GB)",POCO,24999,54999,54% off,4.8,"1,290",822,6 GB RAM,128 GB ROM,8000 mAh Lithium-Ion Polymer Battery,Snapdragon Gen 4 Processor,17.75 cm (6.99 inch) Full HD+ AMOLED Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/poco-m8-power-5g-blaze-orange-128-gb/p/itm0edc1dd6b4e42?pid=MOBHPCYNPNCJG2UV&lid=LSTMOBHPCYNPNCJG2UVUHFGWJ&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_6&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHPCYNPNCJG2UV.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
7,"POCO C85x (Sunset Gold, 128 GB)",POCO,15499,21999,29% off,4.1,"6,300",786,4 GB RAM,128 GB ROM,6300 mAh Lithium-Ion Polymer Battery,T8300 Processor,17.53 cm (6.9 inch) HD+ Display,32MP Rear Camera,,https://www.flipkart.com/poco-c85x-sunset-gold-128-gb/p/itm5e970a19e6ad3?pid=MOBHMGG5BR94DQRY&lid=LSTMOBHMGG5BR94DQRY8N6NYY&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_7&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHMGG5BR94DQRY.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
8,"Ai+ Pulse 2 (Green, 64 GB)",Ai+,10999,,,4.1,"11,183",777,4 GB RAM,64 GB ROM,6000 mAh Battery,T7250 Processor,17.13 cm (6.745 inch) HD+ Display,50MP Rear Camera | 8MP Front Camera,,https://www.flipkart.com/ai-pulse-2-green-64-gb/p/itm8475838cc2064?pid=MOBHKHPYZHDPMZSR&lid=LSTMOBHKHPYZHDPMZSRLBINVS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_8&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHKHPYZHDPMZSR.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
9,"MOTOROLA g67 power 5G (Pantone CILANTRO, 256 GB)",MOTOROLA,27999,30999,9% off,4.2,"1,070",78,12 GB RAM,256 GB ROM,7000 mAh Battery,7s Gen 2 Processor,17.02 cm (6.7 inch) Full HD+ Display,50MP + 8MP | 32MP Front Camera,,https://www.flipkart.com/motorola-g67-power-5g-pantone-cilantro-256-gb/p/itme91d2943b446d?pid=MOBHN3UXSVHPQ7MC&lid=LSTMOBHN3UXSVHPQ7MCN0OLIS&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_9&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHN3UXSVHPQ7MC.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
10,"LAVA Virat V1 (Himalayan Silver, 64 GB)",LAVA,9999,12999,23% off,4,424,49,4 GB RAM,64 GB ROM,5000 mAh Battery,,17.14 cm (6.75 inch) Display,13MP Rear Camera,,https://www.flipkart.com/lava-virat-v1-himalayan-silver-64-gb/p/itmed225fe6c3db4?pid=MOBHZ7KNHMYUSZBW&lid=LSTMOBHZ7KNHMYUSZBWGD1ZI4&marketplace=FLIPKART&q=smart+phones&store=tyy%2F4io&srno=s_1_10&otracker=search&fm=organic&iid=9f7f37ef-cf17-45d3-8aac-787e2811f749.MOBHZ7KNHMYUSZBW.SEARCH&ppt=None&ppn=None&ssid=e4vvvj929s0000001788509189654&qH=a5594894156db043&ov_redirect=true,2026-09-04
